"Date","FromCurrencyId","ToCurrencyId","ToCurrencySysname","EuroRate"
2024-11-11,2,1,USD,0.9388790
2024-11-11,2,2,EUR,1.0000000
2024-11-11,2,3,GBP,1.2094823
2024-11-11,2,4,JPY,0.0061043
2024-11-11,2,5,AUD,0.6178179
2024-11-11,2,6,MXN,0.0457542
2024-11-11,2,7,SEK,0.0862664
2024-11-11,2,8,NOK,0.0848428
2024-11-11,2,9,HUF,0.0024412
2024-11-11,2,10,CAD,0.6734914
2024-11-11,2,11,BRL,0.1616109
2024-11-11,2,12,PEN,0.2488000
2024-11-11,2,13,CLP,0.0009660
2024-11-11,2,14,INR,0.0111243
2024-11-11,2,15,NZD,0.5600045
2024-11-11,2,16,ALL,0.0094000
2024-11-11,2,17,COP,0.0002000
2024-11-10,2,1,USD,0.9283327
2024-11-10,2,2,EUR,1.0000000
2024-11-10,2,3,GBP,1.2020965
2024-11-10,2,4,JPY,0.0060909
2024-11-10,2,5,AUD,0.6150440
2024-11-10,2,6,MXN,0.0464362
2024-11-10,2,7,SEK,0.0862813
2024-11-10,2,8,NOK,0.0849365
2024-11-10,2,9,HUF,0.0024589
2024-11-10,2,10,CAD,0.6674231
2024-11-10,2,11,BRL,0.1612019
2024-11-10,2,12,PEN,0.2488000
2024-11-10,2,13,CLP,0.0009660
2024-11-10,2,14,INR,0.0110023
2024-11-10,2,15,NZD,0.5564830
2024-11-10,2,16,ALL,0.0094000
2024-11-10,2,17,COP,0.0002000
2024-11-09,2,1,USD,0.9283327
2024-11-09,2,2,EUR,1.0000000
2024-11-09,2,3,GBP,1.2020965
2024-11-09,2,4,JPY,0.0060909
2024-11-09,2,5,AUD,0.6150440
2024-11-09,2,6,MXN,0.0464362
2024-11-09,2,7,SEK,0.0862813
2024-11-09,2,8,NOK,0.0849365
2024-11-09,2,9,HUF,0.0024589
2024-11-09,2,10,CAD,0.6674231
2024-11-09,2,11,BRL,0.1612019
2024-11-09,2,12,PEN,0.2488000
2024-11-09,2,13,CLP,0.0009660
2024-11-09,2,14,INR,0.0110023
